red,big,money,howmany,year,name,variety,winery,place,date,WS,WSWeb
Red,750ml,0,1,1998,S. Anderson Cabernet Sauvignon Richard Chambers Vineyard,Cabernet Sauvignon,Richard Chambers Vineyard,California,2008,,
Red,750ml,0,1,2012,Anna Maria Tempranillo,Tempranillo,Unknown,Oregon,9999,,
Red,750ml,0,1,2004,Beaux Fr�res Pinot Noir Beaux Fr�res Vineyard,Pinot Noir,Beaux Fr�res Vineyard,Oregon,2017,,
Red,750ml,0,1,2013,Bonterra Vineyards Cabernet Sauvignon,Cabernet Sauvignon,Unknown,California,2018,,
Red,750ml,0,2,2012,Ch�teau des Arnauds Cuv�e des Capucins,Red Bordeaux Blend,Unknown,Bordeaux,2020,,
Red,750ml,0,1,2014,Fincas Don Martino Malbec Old Vine,Malbec,Unknown,Mendoza,9999,,
Ros�,750ml,0,1,2012,Duck Pond Pinot Gris Ros�,Pinot Gris,Unknown,Oregon,9999,,
Red,750ml,0,1,2014,Erath Pinot Noir Dundee Hills,Pinot Noir,Unknown,Oregon,2019,,
Red,750ml,0,1,2013,Francis Ford Coppola Cabernet Sauvignon Diamond Collection Black Label Claret,Cabernet Sauvignon,Unknown,California,2017,,
Red,750ml,0,1,2013,Joel Gott Cabernet Sauvignon 815,Cabernet Sauvignon,Unknown,California,2017,,
Red,750ml,0,3,1977,Graham Porto Late Bottled Vintage,Port Blend,Unknown,Douro,2001,,
Red,750ml,0,1,2010,Hillgate Cabernet Sauvignon,Cabernet Sauvignon,Unknown,California,2014,,
White,750ml,0,1,2014,Iris Vineyards Pinot Gris,Pinot Gris,Unknown,Oregon,9999,,
White,750ml,0,1,2013,Kendall-Jackson Chardonnay Grand R�serve,Chardonnay,Unknown,California,2020,,
White,750ml,0,1,2015,Kim Crawford Sauvignon Blanc Marlborough,Sauvignon Blanc,Unknown,South Island,2017,,
Red,750ml,0,1,2013,Domaine Lafage Tessellae Old Vines,Red Rhone Blend,Unknown,Languedoc Roussillon,2019,,
Red,750ml,0,1,2014,Layercake Shiraz,Shiraz,Unknown,South Australia,2017,,
White,750ml,0,1,2014,Dr. Loosen Riesling Blue Slate,Riesling,Unknown,Mosel Saar Ruwer,2016,,
Red,750ml,0,1,2013,Michael-David Vineyards Petite Petit,Red Blend,Unknown,California,2019,,
Red,750ml,0,1,2013,Michael-David Vineyards Zinfandel 7 Deadly Zins,Zinfandel,Unknown,California,2017,,
Red,750ml,0,1,2012,Palacios Remondo Rioja La Montesa,Grenache Blend,Unknown,La Rioja,2018,,
Red,750ml,0,1,2013,Vi�a Santa Rita Secret Reserve Red Blend,Red Blend,Unknown,Maipo Valley,2036,,
White,750ml,0,1,1001,Shafer Vineyard Cellars Chardonnay Vintner's Cuv�e,Chardonnay,Unknown,Oregon,9999,,
White,750ml,0,1,1001,Sokol Blosser Evolution,White Blend,Unknown,Oregon,2011,,
Red,750ml,0,1,2012,Tommasi Maremma Toscana Poggio al Tufo Rompicollo,SuperTuscan Blend,Rompicollo,Tuscany,2017,,
White,750ml,0,1,2014,Willamette Valley Vineyards Riesling,Riesling,Unknown,Oregon,2018,,
White,750ml,0,1,2014,Wither Hills Sauvignon Blanc,Sauvignon Blanc,Unknown,South Island,2015,,
